hcp,soc,volume
0,0,15
0,91,15
0,73,13
1,13,73
2,54,25
6,31,16
6,17,12
6,47,19
11,40,23
13,74,0
15,40,4
18,36,17
19,40,14
21,93,22
26,28,23
30,50,13
30,55,4
32,49,4
35,39,4
35,80,10
36,91,20
40,49,9
40,99,17
44,61,7
45,40,6
55,4,11
55,3,12
59,89,10
61,9,9
62,30,40
64,64,17
64,0,18
65,31,42
67,75,2
67,60,23
67,33,3
69,41,66
70,22,26
72,48,24
72,59,7
72,96,4
76,16,13
76,9,5
82,29,85
83,14,14
85,15,15
85,65,15
90,72,16
91,13,41
91,52,4
98,28,4
105,46,24
107,95,15
109,2,43
110,44,25
110,38,15
113,29,59
116,63,11
121,41,3
122,20,13
126,48,9
127,92,21
128,55,87
137,63,2
137,84,19
141,34,21
145,43,29
146,69,16
147,1,9
148,19,24
151,22,36
153,24,14
155,80,24
156,91,28
158,48,95
159,83,55
162,51,15
163,63,15
170,37,18
173,3,16
173,49,11
176,45,28
179,41,2
180,56,13
181,64,1
182,43,46
189,42,1
194,10,32
201,71,13
202,16,5
205,68,6
210,69,7
214,24,0
217,57,31
218,8,28
220,49,23
224,8,13
226,30,46
227,80,57
230,18,37
233,34,18
234,68,25
235,49,7
240,85,30
250,97,30
250,65,11
256,27,48
256,93,0
260,83,23
261,37,19
270,54,3
275,45,34
279,49,19
286,14,17
287,70,7
289,29,11
289,88,6
292,30,24
295,82,6
297,55,15
299,58,4
299,99,21
311,49,2
311,28,10
314,57,15
316,15,3
317,40,0
317,0,10
320,38,25
321,3,18
323,80,12
325,35,19
325,33,6
326,54,10
326,84,11
328,89,57
330,19,16
331,15,3
331,20,9
334,10,4
335,34,22
336,71,9
338,74,2
339,77,31
339,34,14
340,9,23
340,79,4
342,25,43
343,39,37
344,18,2
347,82,7
348,85,6
353,99,12
359,30,3
359,15,8
363,15,34
366,20,4
370,30,18
372,42,12
374,83,0
374,3,17
381,91,18
381,16,6
381,70,16
387,94,24
387,83,24
387,23,2
388,30,4
391,67,41
394,58,68
397,70,11
399,5,6
402,10,21
402,71,13
404,94,20
406,11,36
406,29,13
407,90,10
408,84,18
411,71,1
412,48,30
414,78,12
416,78,21
422,64,12
430,49,18
433,90,21
436,44,24
437,86,9
439,48,16
440,63,5
442,66,32
442,91,24
443,95,47
444,74,13
453,43,29
455,41,25
464,99,21
467,83,10
467,27,9
467,8,8
469,36,22
469,61,12
470,23,2
472,36,3
472,94,12
472,41,9
475,22,8
475,45,6
477,60,32
480,79,17
487,78,10
490,89,40
492,13,7
499,89,2
499,85,32
503,73,8
505,43,9
505,5,12
507,95,8
509,56,15
514,98,17
515,35,9
516,69,11
517,38,55
518,85,7
518,40,12
519,10,18
521,33,2
523,60,18
527,88,9
531,31,10
532,79,7
534,47,7
534,23,29
538,15,20
538,86,21
544,91,13
544,63,23
546,13,18
547,65,97
548,65,10
548,38,3
550,46,14
552,76,26
556,19,29
556,85,29
559,37,20
560,89,16
562,70,38
565,56,33
569,98,3
573,22,0
575,75,2
577,80,90
580,58,31
583,72,89
585,4,9
587,46,6
589,21,2
591,50,46
592,23,18
595,28,25
601,80,46
601,77,25
602,88,23
605,24,21
605,49,23
606,83,17
606,66,26
610,46,0
612,60,7
613,82,94
614,17,23
615,50,22
615,42,14
617,19,32
619,15,21
620,12,17
624,7,16
627,39,0
629,46,26
631,74,10
644,75,7
653,19,42
655,7,29
657,39,7
658,61,15
669,70,10
671,14,62
673,86,3
678,16,24
680,63,22
685,7,21
687,98,1
687,86,32
689,84,1
700,6,19
701,97,8
704,52,48
706,33,24
707,88,10
707,45,18
707,86,18
712,97,9
716,34,22
717,44,19
717,11,3
720,11,30
721,88,1
734,45,31
734,47,27
737,84,0
739,30,27
739,18,11
740,5,40
745,63,12
752,3,8
755,91,19
757,14,5
762,7,37
764,13,11
773,90,16
785,83,2
786,47,9
791,76,28
791,51,11
792,9,6
793,90,1
794,65,80
802,31,57
804,64,17
804,26,17
806,89,24
810,90,2
812,38,14
813,23,14
814,6,7
816,19,65
821,90,4
823,49,14
824,97,5
826,28,21
828,72,18
829,8,22
834,75,15
838,33,26
840,4,18
840,39,8
840,57,8
842,82,22
842,40,14
844,99,25
844,95,30
847,24,16
853,71,21
855,84,35
857,36,93
859,77,39
860,32,19
860,2,48
861,11,45
861,92,19
862,45,12
862,29,11
865,19,9
867,69,19
867,57,14
868,44,0
877,48,10
877,48,8
879,8,2
884,26,11
885,63,20
887,74,49
888,31,16
897,4,10
900,96,21
900,94,19
901,39,23
903,43,55
906,54,28
917,24,2
925,79,7
928,27,3
933,14,14
936,35,37
936,47,43
937,89,12
939,88,19
941,85,34
946,61,1
952,92,11
960,51,49
961,76,32
963,40,12
963,28,23
966,38,22
970,66,13
971,44,16
971,25,7
972,59,23
972,54,18
975,29,2
975,80,20
978,97,0
978,73,11
980,78,8
983,24,44
984,34,0
985,14,41
986,10,44
986,19,17
988,38,18
991,82,1
994,10,1
998,41,99
